Data da Venda,Produto,Categoria,PrecoUnitario,Custo Unitário,Marca,Qtd. Vendida,Nome Cliente,Localidade
01/06/2017,Sistema de Som 7.1 Channel X711 Prata,Sistema de Som,1109.0,367.43,Litware ,1,Pinheiro Vicente,França - Europa
01/06/2017,180 CFM Ventilador de Coluna X450 Preto,Ventiladores,215.62,71.44,Litware,1,Lopez Marlon,Estados Unidos - América do Norte
01/06/2017,180 CFM Ventilador de Coluna X450 Preto,Ventiladores,215.62,71.44,Litware,1,Gonzalez Martin,Chile - América do Sul
01/06/2017,180 CFM Ventilador de Coluna X450 Preto,Ventiladores,215.62,71.44,Litware,1,Ruiz Victor,Alemanha - Europa
01/06/2017,180 CFM Ventilador de Coluna X450 Preto,Ventiladores,215.62,71.44,Litware,5,Nelson Alex,Estados Unidos - América do Norte
01/06/2017,180 CFM Ventilador de Coluna X450 Preto,Ventiladores,215.62,71.44,Litware,1,Alvarez Daisy,Estados Unidos - América do Norte
01/06/2017,180 CFM Ventilador de Coluna X450 Preto,Ventiladores,215.62,71.44,Litware,2,Wang Margaret,Estados Unidos - América do Norte
01/06/2017,180 CFM Ventilador de Coluna X450 Preto,Ventiladores,215.62,71.44,Litware,4,Kumar Edwin,França - Europa
01/06/2017,180 CFM Ventilador de Coluna X450 Preto,Ventiladores,215.62,71.44,Litware,1,Sanchez Nathaniel,Estados Unidos - América do Norte
01/06/2017,180 CFM Ventilador de Coluna X450 Preto,Ventiladores,215.62,71.44,Litware,1,Butler Kelly,Estados Unidos - América do Norte
01/06/2017,Macro Zoom Lens X300 Branco,Acessórios para Câmeras,366.55,121.45,Contoso,5,Subram Gerald,Estados Unidos - América do Norte
01/06/2017,Sistema de Som 2.1 Channel E211 Marrom,Sistema de Som,269.9,137.6,Litware ,5,Tang Raul,Chile - América do Sul
01/06/2017,Sistema de Som 2.1 Channel E211 Marrom,Sistema de Som,269.9,137.6,Litware ,4,Cooper Kimberly,Estados Unidos - América do Norte
01/06/2017,Sistema de Som 2.1 Channel E211 Marrom,Sistema de Som,269.9,137.6,Litware ,2,Guo Brittney,África do Sul - África
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,1,Murphy Isabella,Brasil - América do Sul
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,3,Li Caleb,Estados Unidos - América do Norte
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,1,Luo Dale,Canadá - América do Norte
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,1,Chen Brent,Estados Unidos - América do Norte
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,1,Gonzalez Whitney,Estados Unidos - América do Norte
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,1,Hernandez Alfredo,Estados Unidos - América do Norte
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,5,Andersen Kelli,Estados Unidos - América do Norte
